;COMUNA;total;De18a24P;FemeninoP
294;San Juan De La Costa;408;0.384803922;0.367647059
295;San Miguel;7760;0.31121134;0.607989691
296;San Nicolas;576;0.425347222;0.472222222
297;San Pablo;622;0.347266881;0.419614148
298;San Pedro De Atacama;513;0.34502924;0.578947368
299;San Pedro De La Paz;5511;0.567592089;0.530393758
300;San Pedro;517;0.441005803;0.48549323
301;San Rafael;437;0.501144165;0.487414188
302;San Ramon;5463;0.390261761;0.578253707
303;San Rosendo;285;0.270175439;0.494736842
304;San Vicente;2593;0.423833398;0.507905901
305;Santa Barbara;913;0.467688938;0.43263965
306;Santa Cruz;2063;0.468734852;0.544352884
307;Santa Juana;812;0.487684729;0.464285714
308;Santa Maria;742;0.423180593;0.508086253
309;Santiago;26226;0.224395638;0.583619309
310;Santo Domingo;909;0.295929593;0.512651265
311;Sierra Gorda;160;0.2125;0.5125
312;Talagante;3516;0.481513083;0.554607509
313;Talca;12326;0.52620477;0.556709395
314;Talcahuano;7712;0.396006224;0.542660788
315;Taltal;817;0.511627907;0.503059976
316;Temuco;17321;0.379308354;0.522371688
317;Teno;1350;0.551111111;0.517777778
318;Teodoro Schmidt;823;0.467800729;0.482381531
319;Tierra Amarilla;773;0.510996119;0.460543338
320;Tiltil;1015;0.542857143;0.524137931
321;Timaukel;21;0.285714286;0.476190476
322;Tirua;463;0.641468683;0.419006479
323;Tocopilla;1764;0.340702948;0.560657596
324;Tolten;785;0.430573248;0.405095541
325;Tome;3125;0.38624;0.53344
326;Torres Del Paine;36;0.472222222;0.305555556
327;Tortel;22;0.954545455;0.5
328;Traiguen;1488;0.409946237;0.497311828
329;Trehuaco;303;0.372937294;0.412541254
330;Tucapel;877;0.475484607;0.49372862
331;Valdivia;8848;0.391952984;0.55221519
332;Vallenar;3434;0.41613279;0.528538148
333;Valparaiso;21536;0.304095468;0.550752229
334;Vichuquen;249;0.365461847;0.445783133
335;Victoria;2348;0.363713799;0.535775128
336;Vicuña;1873;0.404164442;0.51895355
337;Vilcun;1921;0.456012493;0.460176991
338;Villa Alegre;835;0.376047904;0.526946108
339;Villa Alemana;8584;0.442334576;0.55055918
340;Villarrica;4287;0.427804992;0.469792396
341;Viña Del Mar;24543;0.324206495;0.573605509
342;Vitacura;8402;0.232801714;0.61092597
343;Yerbas Buenas;763;0.467889908;0.47706422
344;Yumbel;1300;0.34;0.509230769
345;Yungay;1074;0.455307263;0.468342644
346;Zapallar;617;0.272285251;0.510534846
